Age_group,Region,Year,Deaths
15-24 years,Western Australia,2016,157
15-24 years,Western Australia,2017,129
15-24 years,Western Australia,2018,144
15-24 years,Western Australia,2019,139
15-24 years,Western Australia,2020,147
15-24 years,Western Australia,2021,127
15-24 years,Western Australia,2022,128
15-24 years,Western Australia,2023,141
25-34 years,Western Australia,2014,249
25-34 years,Western Australia,2015,273
25-34 years,Western Australia,2016,292
25-34 years,Western Australia,2017,257
25-34 years,Western Australia,2018,241
25-34 years,Western Australia,2019,255
25-34 years,Western Australia,2020,264
25-34 years,Western Australia,2021,237
25-34 years,Western Australia,2022,260
25-34 years,Western Australia,2023,243
35-44 years,Western Australia,2014,438
35-44 years,Western Australia,2015,431
35-44 years,Western Australia,2016,444
35-44 years,Western Australia,2017,431
35-44 years,Western Australia,2018,401
35-44 years,Western Australia,2019,420
35-44 years,Western Australia,2020,402
35-44 years,Western Australia,2021,379
35-44 years,Western Australia,2022,450
35-44 years,Western Australia,2023,458
45-54 years,Western Australia,2014,717
45-54 years,Western Australia,2015,812
45-54 years,Western Australia,2016,715
45-54 years,Western Australia,2017,812
45-54 years,Western Australia,2018,771
45-54 years,Western Australia,2019,771
45-54 years,Western Australia,2020,747
45-54 years,Western Australia,2021,711
45-54 years,Western Australia,2022,814
45-54 years,Western Australia,2023,803
55-64 years,Western Australia,2014,1301
55-64 years,Western Australia,2015,1413
55-64 years,Western Australia,2016,1356
55-64 years,Western Australia,2017,1304
55-64 years,Western Australia,2018,1434
55-64 years,Western Australia,2019,1419
55-64 years,Western Australia,2020,1397
55-64 years,Western Australia,2021,1422
55-64 years,Western Australia,2022,1518
55-64 years,Western Australia,2023,1407
65-74 years,Western Australia,2014,2217
65-74 years,Western Australia,2015,2221
65-74 years,Western Australia,2016,2316
65-74 years,Western Australia,2017,2362
65-74 years,Western Australia,2018,2359
65-74 years,Western Australia,2019,2368
65-74 years,Western Australia,2020,2516
65-74 years,Western Australia,2021,2583
65-74 years,Western Australia,2022,2759
65-74 years,Western Australia,2023,2785
75-84 years,Western Australia,2014,3511
75-84 years,Western Australia,2015,3627
75-84 years,Western Australia,2016,3716
75-84 years,Western Australia,2017,3642
75-84 years,Western Australia,2018,3689
75-84 years,Western Australia,2019,3766
75-84 years,Western Australia,2020,3750
75-84 years,Western Australia,2021,4153
75-84 years,Western Australia,2022,4543
75-84 years,Western Australia,2023,4658
85 years and over,Western Australia,2014,5024
85 years and over,Western Australia,2015,5398
85 years and over,Western Australia,2016,5786
85 years and over,Western Australia,2017,5462
85 years and over,Western Australia,2018,5463
85 years and over,Western Australia,2019,5781
85 years and over,Western Australia,2020,5734
85 years and over,Western Australia,2021,6350
85 years and over,Western Australia,2022,6840
85 years and over,Western Australia,2023,6959
All persons,Western Australia,2014,13730
All persons,Western Australia,2015,14476
All persons,Western Australia,2016,14944
All persons,Western Australia,2017,14538
All persons,Western Australia,2018,14645
All persons,Western Australia,2019,15049
All persons,Western Australia,2020,15069
All persons,Western Australia,2021,16095
All persons,Western Australia,2022,17457
All persons,Western Australia,2023,17587
