Age_group,Region,Year,Deaths
45-54 years,New South Wales,2014,2310
45-54 years,New South Wales,2015,2321
45-54 years,New South Wales,2016,2249
45-54 years,New South Wales,2017,2253
45-54 years,New South Wales,2018,2040
45-54 years,New South Wales,2019,2130
45-54 years,New South Wales,2020,2111
45-54 years,New South Wales,2021,2137
45-54 years,New South Wales,2022,2199
45-54 years,New South Wales,2023,2137
55-64 years,New South Wales,2014,4526
55-64 years,New South Wales,2015,4598
55-64 years,New South Wales,2016,4590
55-64 years,New South Wales,2017,4559
55-64 years,New South Wales,2018,4666
55-64 years,New South Wales,2019,4752
55-64 years,New South Wales,2020,4650
55-64 years,New South Wales,2021,4493
55-64 years,New South Wales,2022,4933
55-64 years,New South Wales,2023,4579
65-74 years,New South Wales,2014,8089
65-74 years,New South Wales,2015,8106
65-74 years,New South Wales,2016,8289
65-74 years,New South Wales,2017,8676
65-74 years,New South Wales,2018,8415
65-74 years,New South Wales,2019,8698
65-74 years,New South Wales,2020,8516
65-74 years,New South Wales,2021,8959
65-74 years,New South Wales,2022,9606
65-74 years,New South Wales,2023,9099
75-84 years,New South Wales,2014,13914
75-84 years,New South Wales,2015,13730
75-84 years,New South Wales,2016,13812
75-84 years,New South Wales,2017,14354
75-84 years,New South Wales,2018,13529
75-84 years,New South Wales,2019,14080
75-84 years,New South Wales,2020,13983
75-84 years,New South Wales,2021,14950
75-84 years,New South Wales,2022,17035
75-84 years,New South Wales,2023,16569
85 years and over,New South Wales,2014,21164
85 years and over,New South Wales,2015,21960
85 years and over,New South Wales,2016,22086
85 years and over,New South Wales,2017,23130
85 years and over,New South Wales,2018,21892
85 years and over,New South Wales,2019,22719
85 years and over,New South Wales,2020,21802
85 years and over,New South Wales,2021,23545
85 years and over,New South Wales,2022,27022
85 years and over,New South Wales,2023,24573
All persons,New South Wales,2014,52396
All persons,New South Wales,2015,53044
All persons,New South Wales,2016,53275
All persons,New South Wales,2017,55361
All persons,New South Wales,2018,52787
All persons,New South Wales,2019,54812
All persons,New South Wales,2020,53290
All persons,New South Wales,2021,56314
All persons,New South Wales,2022,63106
All persons,New South Wales,2023,59121
Under 1 year,Northern Territory,2014,22
Under 1 year,Northern Territory,2015,27
Under 1 year,Northern Territory,2016,30
Under 1 year,Northern Territory,2017,36
Under 1 year,Northern Territory,2018,35
Under 1 year,Northern Territory,2019,25
Under 1 year,Northern Territory,2020,32
Under 1 year,Northern Territory,2021,30
Under 1 year,Northern Territory,2022,27
Under 1 year,Northern Territory,2023,24
1-14 years,Northern Territory,2014,18
1-14 years,Northern Territory,2015,12
1-14 years,Northern Territory,2016,10
1-14 years,Northern Territory,2017,12
1-14 years,Northern Territory,2018,7
1-14 years,Northern Territory,2019,10
1-14 years,Northern Territory,2020,13
1-14 years,Northern Territory,2021,11
1-14 years,Northern Territory,2022,11
1-14 years,Northern Territory,2023,13
15-24 years,Northern Territory,2014,41
15-24 years,Northern Territory,2015,33
15-24 years,Northern Territory,2016,19
15-24 years,Northern Territory,2017,39
15-24 years,Northern Territory,2018,37
15-24 years,Northern Territory,2019,36
15-24 years,Northern Territory,2020,33
15-24 years,Northern Territory,2021,39
15-24 years,Northern Territory,2022,43
15-24 years,Northern Territory,2023,20
25-34 years,Northern Territory,2014,57
25-34 years,Northern Territory,2015,59
25-34 years,Northern Territory,2016,47
25-34 years,Northern Territory,2017,59
25-34 years,Northern Territory,2018,53
25-34 years,Northern Territory,2019,58
25-34 years,Northern Territory,2020,45
25-34 years,Northern Territory,2021,49
25-34 years,Northern Territory,2022,58
25-34 years,Northern Territory,2023,47
35-44 years,Northern Territory,2014,92
35-44 years,Northern Territory,2015,103
35-44 years,Northern Territory,2016,68
35-44 years,Northern Territory,2017,74
35-44 years,Northern Territory,2018,75
35-44 years,Northern Territory,2019,76
35-44 years,Northern Territory,2020,59
35-44 years,Northern Territory,2021,61
35-44 years,Northern Territory,2022,92
35-44 years,Northern Territory,2023,76
45-54 years,Northern Territory,2014,167
45-54 years,Northern Territory,2015,138
45-54 years,Northern Territory,2016,150
45-54 years,Northern Territory,2017,135
45-54 years,Northern Territory,2018,151
45-54 years,Northern Territory,2019,127
45-54 years,Northern Territory,2020,131
45-54 years,Northern Territory,2021,141
45-54 years,Northern Territory,2022,149
45-54 years,Northern Territory,2023,154
55-64 years,Northern Territory,2014,222
55-64 years,Northern Territory,2015,221
55-64 years,Northern Territory,2016,180
55-64 years,Northern Territory,2017,236
55-64 years,Northern Territory,2018,215
55-64 years,Northern Territory,2019,179
55-64 years,Northern Territory,2020,187
55-64 years,Northern Territory,2021,217
