State,Avg_IRSD,Avg_IRSAD,Total_Population
ACT,1070.922935026593,1090.5113047546224,445105.0
NSW,1000.5586583101878,1016.4778838510878,8030306.0
NT,924.2994561941878,958.9370291790009,224161.0
QLD,995.9405023561986,984.8262124951445,5111865.0
SA,982.3496030839651,968.1242199027027,1772100.0
TAS,966.2227086297584,945.371343557327,554395.0
VIC,1010.3244333121285,1011.9050497306446,6475940.0
WA,1012.2707742570168,1003.037435665576,2631460.0
